election,state_reg,mimu_stregpcode,mimu_stregname,mimu_dspcode,mimu_dsname,mimu_twpcode,mimu_twname,ser_num,mimu_plcode,cons_num,dstot_eligv,dstot_ticketv,dstot_earlyv,dstot_totalv,dstot_pctv,dstot_invv,dstot_lostv,dstot_invlostv,cand_name,cand_party,dstot_val_ticketv,dstot_val_earlyv,dstot_val_totalv,cand_pctvalv,lu_name,lu_state,lu_consnm,lu_par,lu_gen,lu_byr,lu_age,lu_occ,lu_occrecode,lu_edu,lu_edurecode,lu_deg,lu_hideg,lu_nat,lu_rel,lu_wdvill,lu_urbrur,lu_vlnum,lu_fat,lu_fatnat,lu_fatrel,lu_mot,lu_motnat,lu_motrel
Pyithu Hluttaw,Tanintharyi,,,,,,,82,MMR006004,Yebyu,99983,54349,4179,58528,58.54,4320,4426,8746,U Min Kyaw Win,Mon National Party,4291,124,4415,0.0887,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pyithu Hluttaw,Tanintharyi,,,,,,,82,MMR006004,Yebyu,99983,54349,4179,58528,58.54,4320,4426,8746,U Win Shein,National Democratic Force (NDF),1001,120,1121,0.0225,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pyithu Hluttaw,Tanintharyi,,,,,,,82,MMR006004,Yebyu,99983,54349,4179,58528,58.54,4320,4426,8746,U Win Oo,Union Solidarity and Development Party (USDP),8186,2326,10512,0.2112,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pyithu Hluttaw,Tanintharyi,,,,,,,82,MMR006004,Yebyu,99983,54349,4179,58528,58.54,4320,4426,8746,U Thet Naing Oo,National League for Democracy (NLD),29765,1451,31216,0.6271,U Thet Naing Oo,Tanintharyi Region,Yebyu,National League for Democracy (NLD),M,1972,43,Gardening,Own Business,LL.B,,LL.B,Bachelor,Bamar,Buddhist,"Yebyu Township, (8) Ward",Urban,0,U Aung Win,Bamar,Buddhist,Daw Yu Sein,Bamar,Buddhist
Pyithu Hluttaw,Tanintharyi,,,,,,,82,MMR006004,Yebyu,99983,54349,4179,58528,58.54,4320,4426,8746,U Aung Myo Khine,All Mon Regions Democracy Party,2360,158,2518,0.0506,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pyithu Hluttaw,Tanintharyi,,,,,,,83,MMR006005,Myeik,171634,118298,6950,125248,72.9,6758,1575,8333,U Soe Paing Htay,National League for Democracy (NLD),86357,2968,89325,0.764,U Soe Paing Htay,Tanintharyi Region,Myeik,National League for Democracy (NLD),M,1976,39,Trader,Own Business,B.Sc(Zoology)?Dip.T.Med,,B.Sc and Diploma,Bachelor,Bamar,Buddhist,Kan Hpyar Ward,Urban,5301,U Than Htay,Bamar,Buddhist,Daw Aye Kyi,Bamar,Buddhist
Pyithu Hluttaw,Tanintharyi,,,,,,,83,MMR006005,Myeik,171634,118298,6950,125248,72.9,6758,1575,8333,U Wanna Kyaw Htin (a) U Htay Myint,Union Solidarity and Development Party (USDP),20531,3747,24278,0.2077,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pyithu Hluttaw,Tanintharyi,,,,,,,83,MMR006005,Myeik,171634,118298,6950,125248,72.9,6758,1575,8333,U Tin Tun Lin,National Development Party,1551,86,1637,0.014,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pyithu Hluttaw,Tanintharyi,,,,,,,83,MMR006005,Myeik,171634,118298,6950,125248,72.9,6758,1575,8333,U Ayawin,National Unity Party (NUP),1526,149,1675,0.0143,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pyithu Hluttaw,Tanintharyi,,,,,,,84,MMR006006,Kyunsu,99641,71403,3384,74787,75.06,5903,49,5952,U Kyar Maung (a) U Maung Kyar,Union Solidarity and Development Party (USDP),18941,1876,20817,0.3024,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pyithu Hluttaw,Tanintharyi,,,,,,,84,MMR006006,Kyunsu,99641,71403,3384,74787,75.06,5903,49,5952,U Soe Kyi,National Unity Party (NUP),1304,92,1396,0.0203,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pyithu Hluttaw,Tanintharyi,,,,,,,84,MMR006006,Kyunsu,99641,71403,3384,74787,75.06,5903,49,5952,Daw Tin Tin Yi,National League for Democracy (NLD),43952,1362,45314,0.6583,Daw Tin Tin Yi,Tanintharyi Region,Kyunsu,National League for Democracy (NLD),F,1946,69,Member of Parliament,Politician,LL.B,,LL.B,Bachelor,Bamar,Buddhist,"No. (1) Ward, Kyunsu Township",Urban,627,U Hla Pe,Bamar,Buddhist,Daw San Nu @ Daw Nu,Bamar,Buddhist
Pyithu Hluttaw,Tanintharyi,,,,,,,84,MMR006006,Kyunsu,99641,71403,3384,74787,75.06,5903,49,5952,U Thu Rain Win,Democratic Party (Myanmar),1254,54,1308,0.019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pyithu Hluttaw,Tanintharyi,,,,,,,85,MMR006007,Palaw,90419,51989,4574,56563,62.56,2635,0,2635,U San khin,National Unity Party (NUP),811,83,894,0.0166,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pyithu Hluttaw,Tanintharyi,,,,,,,85,MMR006007,Palaw,90419,51989,4574,56563,62.56,2635,0,2635,U Tin Tun Aung,National Development Party,1244,106,1350,0.025,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pyithu Hluttaw,Tanintharyi,,,,,,,85,MMR006007,Palaw,90419,51989,4574,56563,62.56,2635,0,2635,U Hla Myint (a) U Maung Hla,Union Solidarity and Development Party (USDP),11581,2362,13943,0.2585,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pyithu Hluttaw,Tanintharyi,,,,,,,85,MMR006007,Palaw,90419,51989,4574,56563,62.56,2635,0,2635,U Oh Khin,National League for Democracy (NLD),35718,2023,37741,0.6998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pyithu Hluttaw,Tanintharyi,,,,,,,86,MMR006008,Tanintharyi,63373,45331,2865,48196,76.05,3704,48,3752,U Khin Zaw Oo,Union Solidarity and Development Party (USDP),7944,1241,9185,0.2067,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pyithu Hluttaw,Tanintharyi,,,,,,,86,MMR006008,Tanintharyi,63373,45331,2865,48196,76.05,3704,48,3752,U Soe Yi,National Unity Party (NUP),1012,77,1089,0.0245,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pyithu Hluttaw,Tanintharyi,,,,,,,86,MMR006008,Tanintharyi,63373,45331,2865,48196,76.05,3704,48,3752,U Han Win Lwin,National Development Party,963,66,1029,0.0232,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pyithu Hluttaw,Tanintharyi,,,,,,,86,MMR006008,Tanintharyi,63373,45331,2865,48196,76.05,3704,48,3752,U Aung Kyaw Heain,National League for Democracy (NLD),31660,1481,33141,0.7457,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pyithu Hluttaw,Tanintharyi,,,,,,,87,MMR006009,Kawthoung,96344,45132,4110,49242,51.11,4256,91,4347,U Khin Zaw  ,National League for Democracy (NLD),29975,1003,30978,0.69,U Khin Zaw  ,Tanintharyi Region,Kawthoung,National League for Democracy (NLD),M,1950,66,Advocate,Own Business,LL.B,,LL.B,Bachelor,Bamar,Buddhist,"Kawthoung, Aye Mya Kan Thar",Not Identifiable,1287,U Chit Aung,Bamar,Buddhist,Daw Kyin,Bamar,Buddhist
Pyithu Hluttaw,Tanintharyi,,,,,,,87,MMR006009,Kawthoung,96344,45132,4110,49242,51.11,4256,91,4347,U Myint Soe,National Unity Party (NUP),1448,86,1534,0.0342,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pyithu Hluttaw,Tanintharyi,,,,,,,87,MMR006009,Kawthoung,96344,45132,4110,49242,51.11,4256,91,4347,U Myint Tun,Union Solidarity and Development Party (USDP),8797,2788,11585,0.258,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pyithu Hluttaw,Tanintharyi,,,,,,,87,MMR006009,Kawthoung,96344,45132,4110,49242,51.11,4256,91,4347,U Thu Ya Soe,Dawei Nationality Party,576,222,798,0.0178,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pyithu Hluttaw,Tanintharyi,,,,,,,88,MMR006010,Bokpyin,45054,29627,3236,32863,72.94,1780,12,1792,U Chit Than,Union Solidarity and Development Party (USDP),9042,2591,11633,0.3744,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pyithu Hluttaw,Tanintharyi,,,,,,,88,MMR006010,Bokpyin,45054,29627,3236,32863,72.94,1780,12,1792,U Nay Lin Tun,National League for Democracy (NLD),17803,572,18375,0.5914,U Nay Lin Tun,Tanintharyi Region,Bokpyin,National League for Democracy (NLD),M,1968,47,Shopkeeper,Own Business,Graduate ? B.Sc (Zoology),,B.Sc,Bachelor,Bamar,Buddhist,Ahle Man,Not Identifiable,585,U Tun Kyaing,Bamar,Buddhist,Daw San Kyi,Bamar,Buddhist
Pyithu Hluttaw,Tanintharyi,,,,,,,88,MMR006010,Bokpyin,45054,29627,3236,32863,72.94,1780,12,1792,U Thein Nyan,National Unity Party (NUP),990,73,1063,0.0324,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pyithu Hluttaw,Bago,,,,,,,89,MMR007001,Bago ,336740,209792,16942,226734,67.33,10032,197,10229,U Kyin Thein,Union Solidarity and Development Party (USDP),43857,7864,51721,0.2389,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pyithu Hluttaw,Bago,,,,,,,89,MMR007001,Bago ,336740,209792,16942,226734,67.33,10032,197,10229,U San Htoo,National Unity Party (NUP),3411,312,3723,0.0172,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pyithu Hluttaw,Bago,,,,,,,89,MMR007001,Bago ,336740,209792,16942,226734,67.33,10032,197,10229,U Soe Thein,National Development Party,3615,200,3815,0.0176,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pyithu Hluttaw,Bago,,,,,,,89,MMR007001,Bago ,336740,209792,16942,226734,67.33,10032,197,10229,U Nyo Lin Mg,Guiding Star Party,3357,139,3496,0.0161,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pyithu Hluttaw,Bago,,,,,,,89,MMR007001,Bago ,336740,209792,16942,226734,67.33,10032,197,10229,U Myo Min Oo,Confederate Farmers Party (CFP),1479,116,1595,0.0074,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pyithu Hluttaw,Bago,,,,,,,89,MMR007001,Bago ,336740,209792,16942,226734,67.33,10032,197,10229,Dr.Daw Shwe Pon,National League for Democracy (NLD),141478,7712,149190,0.6891,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pyithu Hluttaw,Bago,,,,,,,89,MMR007001,Bago ,336740,209792,16942,226734,67.33,10032,197,10229,U Thant Zaw Oo ,Union Democratic Party,1042,64,1106,0.0051,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pyithu Hluttaw,Bago,,,,,,,89,MMR007001,Bago ,336740,209792,16942,226734,67.33,10032,197,10229,U Thein Lwin,Union Farmer Force Party,256,30,286,0.0013,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pyithu Hluttaw,Bago,,,,,,,89,MMR007001,Bago ,336740,209792,16942,226734,67.33,10032,197,10229,U Aung San Win,Myanmar Farmer Development Party,1502,71,1573,0.0073,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pyithu Hluttaw,Bago,,,,,,,90,MMR007002,Thanatpin,108901,59177,2705,61882,56.82,5084,39,5123,U Kyaw Thein,National Unity Party (NUP),1638,84,1722,0.0303,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pyithu Hluttaw,Bago,,,,,,,90,MMR007002,Thanatpin,108901,59177,2705,61882,56.82,5084,39,5123,Daw Khin Saw Ohmar,Union Solidarity and Development Party (USDP),12947,811,13758,0.2424,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pyithu Hluttaw,Bago,,,,,,,90,MMR007002,Thanatpin,108901,59177,2705,61882,56.82,5084,39,5123,U Soe Lwin,Myanmar Farmer Development Party,1511,44,1555,0.0274,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pyithu Hluttaw,Bago,,,,,,,90,MMR007002,Thanatpin,108901,59177,2705,61882,56.82,5084,39,5123,U Myint Oo,National League for Democracy (NLD),36922,1632,38554,0.6793,U Myint Oo,Bago Region,Thanatpin,National League for Democracy (NLD),M,1956,59,Practioner of Indigenous medicine,Business Owner,C.T.Med;(YGN),,C.T.Med; (YGN),Bachelor,Bamar,Buddhist,"Min Ywar Village , Thanat Pin Township",Rural,2218,U Sein,Bamar,Buddhist,Daw Kyi,Bamar,Buddhist
Pyithu Hluttaw,Bago,,,,,,,90,MMR007002,Thanatpin,108901,59177,2705,61882,56.82,5084,39,5123,U Aung Moung,National Development Party,1124,46,1170,0.0206,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pyithu Hluttaw,Bago,,,,,,,91,MMR007003,Kawa ,144982,89460,6768,96228,66.37,5711,117,5828,U Kyaw Naing,Myanmar Farmer Development Party,1646,91,1737,0.0192,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pyithu Hluttaw,Bago,,,,,,,91,MMR007003,Kawa ,144982,89460,6768,96228,66.37,5711,117,5828,U Zaw Min,Union Solidarity and Development Party (USDP),27037,3138,30175,0.3338,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pyithu Hluttaw,Bago,,,,,,,91,MMR007003,Kawa ,144982,89460,6768,96228,66.37,5711,117,5828,U Pyae Phyo Aung,Confederate Farmers Party (CFP),1631,57,1688,0.0187,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pyithu Hluttaw,Bago,,,,,,,91,MMR007003,Kawa ,144982,89460,6768,96228,66.37,5711,117,5828,U Myo Tint Than,National Development Party,3929,208,4137,0.0458,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pyithu Hluttaw,Bago,,,,,,,91,MMR007003,Kawa ,144982,89460,6768,96228,66.37,5711,117,5828,U Hla Than,National League for Democracy (NLD),47979,2947,50926,0.5633,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pyithu Hluttaw,Bago,,,,,,,91,MMR007003,Kawa ,144982,89460,6768,96228,66.37,5711,117,5828,Daw Tharaphe Aung,National Unity Party (NUP),1621,116,1737,0.0192,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pyithu Hluttaw,Bago,,,,,,,92,MMR007004,Waw,129144,72262,5145,77407,59.94,5197,28,5225,U Kyaw Nyunt,Myanmar Farmer Development Party,2107,181,2288,0.0317,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pyithu Hluttaw,Bago,,,,,,,92,MMR007004,Waw,129144,72262,5145,77407,59.94,5197,28,5225,U Zaw Win,National Democratic Force (NDF),1486,61,1547,0.0214,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pyithu Hluttaw,Bago,,,,,,,92,MMR007004,Waw,129144,72262,5145,77407,59.94,5197,28,5225,U Tin Htway,National League for Democracy (NLD),44830,2820,47650,0.6601,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pyithu Hluttaw,Bago,,,,,,,92,MMR007004,Waw,129144,72262,5145,77407,59.94,5197,28,5225,U Min Thu,Union Farmer Force Party,662,25,687,0.0095,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pyithu Hluttaw,Bago,,,,,,,92,MMR007004,Waw,129144,72262,5145,77407,59.94,5197,28,5225,U Mung Yu,Union Solidarity and Development Party (USDP),16113,1911,18024,0.2497,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pyithu Hluttaw,Bago,,,,,,,92,MMR007004,Waw,129144,72262,5145,77407,59.94,5197,28,5225,U Myint Than,Individual,622,52,674,0.0093,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pyithu Hluttaw,Bago,,,,,,,92,MMR007004,Waw,129144,72262,5145,77407,59.94,5197,28,5225,U Win Oo,National Unity Party (NUP),1217,95,1312,0.0182,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pyithu Hluttaw,Bago,,,,,,,93,MMR007005,Nyaunglebin ,143636,88984,7410,96394,67.11,5211,417,5628,U Kyaw Lwin,National Development Party,2695,171,2866,0.0316,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pyithu Hluttaw,Bago,,,,,,,93,MMR007005,Nyaunglebin ,143636,88984,7410,96394,67.11,5211,417,5628,U Kyi Lwin,National Unity Party (NUP),3673,287,3960,0.0436,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pyithu Hluttaw,Bago,,,,,,,93,MMR007005,Nyaunglebin ,143636,88984,7410,96394,67.11,5211,417,5628,U Soe Myint,Union Solidarity and Development Party (USDP),21149,2673,23822,0.2625,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pyithu Hluttaw,Bago,,,,,,,93,MMR007005,Nyaunglebin ,143636,88984,7410,96394,67.11,5211,417,5628,U Htway Hla,Myanmar Farmer Development Party,3484,352,3836,0.0423,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pyithu Hluttaw,Bago,,,,,,,93,MMR007005,Nyaunglebin ,143636,88984,7410,96394,67.11,5211,417,5628,Dr. Myint Thein,National League for Democracy (NLD),52355,3927,56282,0.6201,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pyithu Hluttaw,Bago,,,,,,,94,MMR007006,Kyauktaga ,177425,107253,5389,112642,63.49,7738,73,7811,Dr. Khin Mg Swe,Union Solidarity and Development Party (USDP),27954,1953,29907,0.2853,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pyithu Hluttaw,Bago,,,,,,,94,MMR007006,Kyauktaga ,177425,107253,5389,112642,63.49,7738,73,7811,U Khin Mg Oo,National League for Democracy (NLD),64346,3006,67352,0.6425,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
