Lookup,Country,"RowIndex
(Caution: Do not change RowIndex number)",House,State_Region,SR_PCode,TS_PCode,Township,MIMU_Constituency_PCode,Constituency_Name,Constituency_Recode,RepEthnicGroup,Voters_TotalEligibleVoters,Voters_TicketVotes,Voters_EarlyVotes,Voters_Total,Voters_Percent,InvalidTicket_TotalInvalid,InvalidTicket_TotalLoss,InvalidTicket_TOTAL,FullName,Gender,PartyID,Party,ValidVote_Constituency_Total_Ticket,ValidVote_Constituency_Total_EarlyVote,ValidVote_Constituency_TOTAL,ValidVote_Candidate_Total_Ticket,ValidVote_Candidate_Total_EarlyVote,ValidVote_Candidate_TOTAL,ValidVote_PercentOfValid,Is_WinningCandidate,DataSource,PartyID,Party,Gender,DOB,Age,Occupation_Recoded,Occupation_Recoded1,Occupation_Recoded2,Education,Education_Recoded,Education_Highest,edhi_recode,Nationality,Religion,Ward_Village,PlaceOfResidence,Father,Father_Nationality,Father_Religion,Mother_Name,Mother_Nationality,Mother_Religion
Amyotha HluttawMon StateDaw Aye Aye Nawe7FALSE,Myanmar,565,Amyotha Hluttaw,Mon ,MMR011,,,"MMR011HLA003

HLA001",3,Amyothar_Mon_3,,157468,61717,6294,68011,0.4319,6057,113,6170,Daw Aye Aye Nawe,F,7,National Democratic Force (NDF),55804,6037,61841,1047,50,1097,0.0177,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawMon StateU Khun Win Maung4FALSE,Myanmar,564,Amyotha Hluttaw,Mon ,MMR011,,,"MMR011HLA011

HLA001",11,Amyothar_Mon_11,,110779,68109,6359,74468,0.6722,5140,110,5250,U Khun Win Maung,M,4,National Development Party,63046,6172,69218,1246,59,1305,0.0189,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawMon StateU Min Myint Maung Lay@Ko Maung2FALSE,Myanmar,563,Amyotha Hluttaw,Mon ,MMR011,,,"MMR011HLA004

HLA001",4,Amyothar_Mon_4,,127249,51948,4625,56573,0.4446,2285,651,2936,U Min Myint Maung Lay@Ko Maung,M,2,Union Solidarity and Development Party (USDP),49012,4625,53637,14655,2116,16771,0.3127,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawMon StateU Aung Win@Naing Aung Win5FALSE,Myanmar,562,Amyotha Hluttaw,Mon ,MMR011,,,"MMR011HLA007

HLA001",8,Amyothar_Mon_8,,80179,40732,3582,44314,0.5527,3698,808,4506,U Aung Win@Naing Aung Win,M,5,Individual,36371,3437,39808,607,65,672,0.0169,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawMon StateU Zaw Win2FALSE,Myanmar,561,Amyotha Hluttaw,Mon ,MMR011,,,"MMR011HLA010

HLA001",10,Amyothar_Mon_10,,172157,79028,6073,85101,0.4943,4943,10,4953,U Zaw Win,M,2,Union Solidarity and Development Party (USDP),74075,6073,80148,20916,2670,23586,0.2943,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawMon StateU Soe Win3FALSE,Myanmar,560,Amyotha Hluttaw,Mon ,MMR011,,,"MMR011HLA006

HLA001",6,Amyothar_Mon_6,,165376,70758,6078,76836,0.4646,6858,92,6950,U Soe Win,M,3,National Unity Party (NUP),64083,5803,69886,1146,116,1262,0.0181,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawMon StateDaw Nyaunt Yi@Mi Sandar Nan14FALSE,Myanmar,559,Amyotha Hluttaw,Mon ,MMR011,,,"MMR011HLA003

HLA001",3,Amyothar_Mon_3,,157468,61717,6294,68011,0.4319,6057,113,6170,Daw Nyaunt Yi@Mi Sandar Nan,F,14,Mon National Party,55804,6037,61841,7311,408,7719,0.1248,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawMon StateU Win Thein7FALSE,Myanmar,558,Amyotha Hluttaw,Mon ,MMR011,,,"MMR011HLA006

HLA001",6,Amyothar_Mon_6,,165376,70758,6078,76836,0.4646,6858,92,6950,U Win Thein,M,7,National Democratic Force (NDF),64083,5803,69886,1014,59,1073,0.0154,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawMon StateU Soe Tun2FALSE,Myanmar,570,Amyotha Hluttaw,Mon ,MMR011,,,"MMR011HLA007

HLA001",8,Amyothar_Mon_8,,80179,40732,3582,44314,0.5527,3698,808,4506,U Soe Tun,M,2,Union Solidarity and Development Party (USDP),36371,3437,39808,4216,1119,5335,0.134,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawMon StateU Bo Win22FALSE,Myanmar,591,Amyotha Hluttaw,Mon ,MMR011,,,"MMR011HLA010

HLA001",10,Amyothar_Mon_10,,172157,79028,6073,85101,0.4943,4943,10,4953,U Bo Win,M,22,All Mon Regions Democracy Party,74075,6073,80148,4864,267,5131,0.064,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawMon StateU Lin Tin Htay1TRUE,Myanmar,528,Amyotha Hluttaw,Mon ,MMR011,,,"MMR011HLA004

HLA001",4,Amyothar_Mon_4,,127249,51948,4625,56573,0.4446,2285,651,2936,U Lin Tin Htay,M,1,National League for Democracy (NLD),49012,4625,53637,20142,1484,21626,0.4032,TRUE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,1,National League for Democracy (NLD),M,31241,30,Rubber ,farming,Own business,B.Sc (Mathematics),B.Sc ,Bachelor,Bachelor,Mon,Buddhist,Thet Kaw Village,Rural,U Shwe Ei,Mon,Buddhist,Daw Tin Hla,Mon,Buddhist
Amyotha HluttawMon StateU Hla Myint@U Hla Myint Than1TRUE,Myanmar,584,Amyotha Hluttaw,Mon ,MMR011,,,"MMR011HLA011

HLA001",11,Amyothar_Mon_11,,110779,68109,6359,74468,0.6722,5140,110,5250,U Hla Myint@U Hla Myint Than,M,1,National League for Democracy (NLD),63046,6172,69218,37793,2399,40192,0.5807,TRUE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,1,National League for Democracy (NLD),M,16797,70,Motor vehicle,Business owner,Own business,B.Sc? H.G.P? R.L (final year Master Science),B.Sc ,Bachelor,Bachelor,Myanmar,Buddhist,Kawt San Naing Ward,Urban,U Than,Myanmar,Buddhist,Daw tin,Bamar,Buddhist
Amyotha HluttawMon StateDr. Zaw Lin Htut1TRUE,Myanmar,585,Amyotha Hluttaw,Mon ,MMR011,,,"MMR011HLA009

HLA001",9,Amyothar_Mon_9,,175938,92826,4070,96896,0.5507,7066,366,7432,Dr. Zaw Lin Htut,M,1,National League for Democracy (NLD),85450,4014,89464,49364,1996,51360,0.5741,TRUE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,1,National League for Democracy (NLD),M,23418,51,General Practitioner ,Own business,Own business,M.B.B.S(Rgn),M.B.B.S,M.B.B.S,Bachelor,Bamar,Buddhist,Out Kyin Ward,Urban,U Maung Maung Oo,Bamar,Buddhist,Daw Tin ,Bamar,Buddhist
Amyotha HluttawMon StateDr. Myoe Chit2FALSE,Myanmar,586,Amyotha Hluttaw,Mon ,MMR011,,,"MMR011HLA007

HLA001",7,Amyothar_Mon_7,,88647,34606,2799,37405,0.422,3064,410,3474,Dr. Myoe Chit,M,2,Union Solidarity and Development Party (USDP),31221,2710,33931,3865,1544,5409,0.1594,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawMon StateU Naing Aung Ba@Ank Thar22FALSE,Myanmar,587,Amyotha Hluttaw,Mon ,MMR011,,,"MMR011HLA007

HLA001",7,Amyothar_Mon_7,,88647,34606,2799,37405,0.422,3064,410,3474,U Naing Aung Ba@Ank Thar,M,22,All Mon Regions Democracy Party,31221,2710,33931,7036,257,7293,0.2149,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawMon StateDaw Thazin Htwae@Mi Thazin22FALSE,Myanmar,594,Amyotha Hluttaw,Mon ,MMR011,,,"MMR011HLA006

HLA001",6,Amyothar_Mon_6,,165376,70758,6078,76836,0.4646,6858,92,6950,Daw Thazin Htwae@Mi Thazin,F,22,All Mon Regions Democracy Party,64083,5803,69886,6575,495,7070,0.1012,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawMon StateDaw Myint Myint Wai22FALSE,Myanmar,588,Amyotha Hluttaw,Mon ,MMR011,,,"MMR011HLA003

HLA001",3,Amyothar_Mon_3,,157468,61717,6294,68011,0.4319,6057,113,6170,Daw Myint Myint Wai,F,22,All Mon Regions Democracy Party,55804,6037,61841,6040,601,6641,0.1074,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawMon StateU Soe Than3FALSE,Myanmar,582,Amyotha Hluttaw,Mon ,MMR011,,,"MMR011HLA005

HLA001",5,Amyothar_Mon_5,,124300,52883,4069,56952,0.4582,2275,0,2275,U Soe Than,M,3,National Unity Party (NUP),50722,3955,54677,955,84,1039,0.019,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawMon StateU Myo Win1TRUE,Myanmar,590,Amyotha Hluttaw,Mon ,MMR011,,,"MMR011HLA007

HLA001",8,Amyothar_Mon_8,,80179,40732,3582,44314,0.5527,3698,808,4506,U Myo Win,M,1,National League for Democracy (NLD),36371,3437,39808,18607,1470,20077,0.5043,TRUE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,1,National League for Democracy (NLD),M,21669,56,farming,Agriculture,Own business,B.Sc (Chem),B.Sc ,Bachelor,Bachelor,Mon,Buddhist,Yan Gyi Aung Ward,Urban,U Pho Hlaing ,Mon,Buddhist,Daw Nyunt,Mon,Buddhist
Amyotha HluttawMon StateU Shwe Loo@Min Shwe Loo22FALSE,Myanmar,581,Amyotha Hluttaw,Mon ,MMR011,,,"MMR011HLA005

HLA001",5,Amyothar_Mon_5,,124300,52883,4069,56952,0.4582,2275,0,2275,U Shwe Loo@Min Shwe Loo,M,22,All Mon Regions Democracy Party,50722,3955,54677,3335,148,3483,0.0637,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawMon StateU Myint Swe2FALSE,Myanmar,531,Amyotha Hluttaw,Mon ,MMR011,,,"MMR011HLA012

HLA001",12,Amyothar_Mon_12,,127021,67710,4507,72217,0.5685,4485,2098,6583,U Myint Swe,M,2,Union Solidarity and Development Party (USDP),61288,4346,65634,19331,2003,21334,0.325,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawMon StateU Khin Maung Lay2FALSE,Myanmar,530,Amyotha Hluttaw,Mon ,MMR011,,,"MMR011HLA003

HLA001",3,Amyothar_Mon_3,,157468,61717,6294,68011,0.4319,6057,113,6170,U Khin Maung Lay,M,2,Union Solidarity and Development Party (USDP),55804,6037,61841,14700,2981,17681,0.2859,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawMon StateU Khin Zaw Oo1TRUE,Myanmar,529,Amyotha Hluttaw,Mon ,MMR011,,,"MMR011HLA003

HLA001",3,Amyothar_Mon_3,,157468,61717,6294,68011,0.4319,6057,113,6170,U Khin Zaw Oo,M,1,National League for Democracy (NLD),55804,6037,61841,20417,1525,21942,0.3548,TRUE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,1,National League for Democracy (NLD),M,24285,49,Orchard,farming,Own business,B.Sc (Physics),B.Sc,Bachelor,Bachelor,Bamar,Buddhist,Nyaung Pin Sate,Rural,U San Thein,Bamar,Buddhist,Daw Nyunt Yee,Bamar,Buddhist
Amyotha HluttawMon StateU Kyi Win3FALSE,Myanmar,577,Amyotha Hluttaw,Mon ,MMR011,,,"MMR011HLA012

HLA001",12,Amyothar_Mon_12,,127021,67710,4507,72217,0.5685,4485,2098,6583,U Kyi Win,M,3,National Unity Party (NUP),61288,4346,65634,2974,243,3217,0.049,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawMon StateDaw Ni Ni Lwin76FALSE,Myanmar,527,Amyotha Hluttaw,Mon ,MMR011,,,"MMR011HLA003

HLA001",3,Amyothar_Mon_3,,157468,61717,6294,68011,0.4319,6057,113,6170,Daw Ni Ni Lwin,F,76,Women Party (Mon),55804,6037,61841,1075,48,1123,0.0182,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawMon StateU Tin Yi3FALSE,Myanmar,592,Amyotha Hluttaw,Mon ,MMR011,,,"MMR011HLA011

HLA001",11,Amyothar_Mon_11,,110779,68109,6359,74468,0.6722,5140,110,5250,U Tin Yi,M,3,National Unity Party (NUP),63046,6172,69218,2063,234,2297,0.0332,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawMon StateDaw Nwae Nwae Aung1TRUE,Myanmar,593,Amyotha Hluttaw,Mon ,MMR011,,,MMR011HLA002,2,Amyothar_Mon_2,,103027,55495,3904,59399,0.5765,1141,934,2075,Daw Nwae Nwae Aung,F,1,National League for Democracy (NLD),53468,3856,57324,33877,1304,35181,0.6137,TRUE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,1,National League for Democracy (NLD),F,20727,59,Lawyer,Lawyer,Own business,LL.B,LL.B,Bachelor,Bachelor,Bamar,Buddhist,Zay Kyo Ward,Urban,U Thein Aung,Bamar,Buddhist,Daw Thein Myint,Bamar,Buddhist
Amyotha HluttawMon StateU Khin Zaw Win2FALSE,Myanmar,589,Amyotha Hluttaw,Mon ,MMR011,,,"MMR011HLA005

HLA001",5,Amyothar_Mon_5,,124300,52883,4069,56952,0.4582,2275,0,2275,U Khin Zaw Win,M,2,Union Solidarity and Development Party (USDP),50722,3955,54677,9213,1542,10755,0.1967,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawMon StateDaw Thiri Yadanar1TRUE,Myanmar,598,Amyotha Hluttaw,Mon ,MMR011,,,"MMR011HLA012

HLA001",12,Amyothar_Mon_12,,127021,67710,4507,72217,0.5685,4485,2098,6583,Daw Thiri Yadanar,F,1,National League for Democracy (NLD),61288,4346,65634,32854,1673,34527,0.5261,TRUE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,1,National League for Democracy (NLD),F,29119,36,"""U Min Lwin"" Snacks and Store",Business owner,Own business,B.A  (History),B.A  ,Bachelor,Bachelor,Bamar,Buddhist,Boe Yar Zar Ward,Urban,U Min Lwin,Bamar,Buddhist,Daw Tin Tin Aye ,Bamar,Buddhist
Amyotha HluttawMon StateU Aung Mying42FALSE,Myanmar,537,Amyotha Hluttaw,Mon ,MMR011,,,"MMR011HLA010

HLA001",10,Amyothar_Mon_10,,172157,79028,6073,85101,0.4943,4943,10,4953,U Aung Mying,M,42,The Union of Myanmar Federation of National Politic,74075,6073,80148,703,27,730,0.0091,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawMon StateU Saw Maung Maung Thein10FALSE,Myanmar,536,Amyotha Hluttaw,Mon ,MMR011,,,"MMR011HLA009

HLA001",9,Amyothar_Mon_9,,175938,92826,4070,96896,0.5507,7066,366,7432,U Saw Maung Maung Thein,M,10,Kayin People Party,85450,4014,89464,4509,202,4711,0.0527,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawMon StateU Khun Thein Shwe@Thein Shwe33FALSE,Myanmar,535,Amyotha Hluttaw,Mon ,MMR011,,,"MMR011HLA009

HLA001",9,Amyothar_Mon_9,,175938,92826,4070,96896,0.5507,7066,366,7432,U Khun Thein Shwe@Thein Shwe,M,33,Pao National Organisation (PNO),85450,4014,89464,5502,178,5680,0.0635,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawMon StateDaw Nan San San Win18FALSE,Myanmar,534,Amyotha Hluttaw,Mon ,MMR011,,,"MMR011HLA003

HLA001",3,Amyothar_Mon_3,,157468,61717,6294,68011,0.4319,6057,113,6170,Daw Nan San San Win,F,18,Phlone-Sqaw Democratic Party,55804,6037,61841,2051,86,2137,0.0346,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawMon StateU Phay Tin1TRUE,Myanmar,533,Amyotha Hluttaw,Mon ,MMR011,,,"MMR011HLA006

HLA001",6,Amyothar_Mon_6,,165376,70758,6078,76836,0.4646,6858,92,6950,U Phay Tin,M,1,National League for Democracy (NLD),64083,5803,69886,28348,1778,30126,0.4311,TRUE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,1,National League for Democracy (NLD),M,17426,68,Seller,Seller,Own business,H.G.P,H.G.P (Certificate),Certificate,Certificate,Bamar,Buddhist,"Myoma (1) Ward, Mudon Town",Urban,U Aung Pe ,Myanmar,Buddhist,Daw Ngwe Yon ,Bamar,Buddhist
Amyotha HluttawMon StateDaw Thadar Lwin3FALSE,Myanmar,532,Amyotha Hluttaw,Mon ,MMR011,,,"MMR011HLA007

HLA001",8,Amyothar_Mon_8,,80179,40732,3582,44314,0.5527,3698,808,4506,Daw Thadar Lwin,F,3,National Unity Party (NUP),36371,3437,39808,692,57,749,0.0188,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawMon StateU Thein Lwin5FALSE,Myanmar,595,Amyotha Hluttaw,Mon ,MMR011,,,"MMR011HLA012

HLA001",12,Amyothar_Mon_12,,127021,67710,4507,72217,0.5685,4485,2098,6583,U Thein Lwin,M,5,Individual,61288,4346,65634,1280,89,1369,0.0209,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawMon StateU Aye Min Han1TRUE,Myanmar,583,Amyotha Hluttaw,Mon ,MMR011,,,"MMR011HLA001

HLA001",1,Amyothar_Mon_1,,102345,56187,2507,58694,0.5735,1250,60,1310,U Aye Min Han,M,1,National League for Democracy (NLD),54911,2473,57384,37002,1307,38309,0.6676,TRUE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,1,National League for Democracy (NLD),M,30458,32,Seller,Seller,Own business,3rd year M.B.B.S? 3rd Year English,University level,Some University,Some University,Bamar,Buddhist,Not Available,Not Available,U Tin Win,Bamar,Buddhist,Daw Than ((a) Daw Kyin Than,Bamar,Buddhist
Amyotha HluttawMon StateU Naing Nage Chan@Naing Kaw Thak14FALSE,Myanmar,597,Amyotha Hluttaw,Mon ,MMR011,,,"MMR011HLA005

HLA001",5,Amyothar_Mon_5,,124300,52883,4069,56952,0.4582,2275,0,2275,U Naing Nage Chan@Naing Kaw Thak,M,14,Mon National Party,50722,3955,54677,9272,415,9687,0.1772,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawMon StateDaw Myat Thida Tun1TRUE,Myanmar,538,Amyotha Hluttaw,Mon ,MMR011,,,"MMR011HLA005

HLA001",5,Amyothar_Mon_5,,124300,52883,4069,56952,0.4582,2275,0,2275,Daw Myat Thida Tun,F,1,National League for Democracy (NLD),50722,3955,54677,22984,1391,24375,0.4458,TRUE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,1,National League for Democracy (NLD),F,29866,34,Higher Grade Pleader,Lawyer,Own business,A.G.T.I (MT)?LL.B,LL.B,Bachelor,Bachelor,Bamar,Buddhist,Aung Tharyar Ward,Urban,U Ngwe Myint,Bamar,Buddhist,Daw Myint Myint Swe,Bamar,Buddhist
Amyotha HluttawMon StateU Tint Wai3FALSE,Myanmar,599,Amyotha Hluttaw,Mon ,MMR011,,,"MMR011HLA004

HLA001",4,Amyothar_Mon_4,,127249,51948,4625,56573,0.4446,2285,651,2936,U Tint Wai,M,3,National Unity Party (NUP),49012,4625,53637,1221,186,1407,0.0262,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawMon StateU Thet Htwae2FALSE,Myanmar,600,Amyotha Hluttaw,Mon ,MMR011,,,"MMR011HLA006

HLA001",6,Amyothar_Mon_6,,165376,70758,6078,76836,0.4646,6858,92,6950,U Thet Htwae,M,2,Union Solidarity and Development Party (USDP),64083,5803,69886,10988,2529,13517,0.1934,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawMon StateU Saw Khin Win Aung18FALSE,Myanmar,601,Amyotha Hluttaw,Mon ,MMR011,,,"MMR011HLA010

HLA001",10,Amyothar_Mon_10,,172157,79028,6073,85101,0.4943,4943,10,4953,U Saw Khin Win Aung,M,18,Phlone-Sqaw Democratic Party,74075,6073,80148,2431,176,2607,0.0325,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawMon StateU Khun Maung Thaung2FALSE,Myanmar,602,Amyotha Hluttaw,Mon ,MMR011,,,"MMR011HLA009

HLA001",9,Amyothar_Mon_9,,175938,92826,4070,96896,0.5507,7066,366,7432,U Khun Maung Thaung,M,2,Union Solidarity and Development Party (USDP),85450,4014,89464,20450,1278,21728,0.2429,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawMon StateU Boe Myint@Naing Banyar Chan14FALSE,Myanmar,603,Amyotha Hluttaw,Mon ,MMR011,,,"MMR011HLA006

HLA001",6,Amyothar_Mon_6,,165376,70758,6078,76836,0.4646,6858,92,6950,U Boe Myint@Naing Banyar Chan,M,14,Mon National Party,64083,5803,69886,16012,826,16838,0.2409,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawMon StateDaw Tin Mar Mar Lwin20FALSE,Myanmar,578,Amyotha Hluttaw,Mon ,MMR011,,,"MMR011HLA011

HLA001",11,Amyothar_Mon_11,,110779,68109,6359,74468,0.6722,5140,110,5250,Daw Tin Mar Mar Lwin,F,20,Federal Union Party (FUP),63046,6172,69218,367,37,404,0.0058,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawMon StateU Thein Myint3FALSE,Myanmar,579,Amyotha Hluttaw,Mon ,MMR011,,,"MMR011HLA003

HLA001",3,Amyothar_Mon_3,,157468,61717,6294,68011,0.4319,6057,113,6170,U Thein Myint,M,3,National Unity Party (NUP),55804,6037,61841,516,95,611,0.0099,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
